Caption,BlockUntil,ChildStatus,GroupStatus,LastBoot,LastSync,LastSystemUpTimePollUtc,MachineType,MaxResponseTime,MinResponseTime,NodeName,PercentLoss,PercentMemoryAvailable,PercentMemoryUsed,StatusIcon,Comments,ConnectionType,Department,Latitude,Longitude,Region
091-087_3-WB-SW,12/30/1899 5:00:00 AM,1,Up.gif,8/22/2018 9:53:00 PM,11/21/2018 3:42:41 PM,11/21/2018 3:42:19 PM,"Brocade Communications Systems, Inc.",24,2,091-087_3-WB-SW,0,100,0,Up.gif,SR 091 MM 065 - 094,Fiber,Switch-NEMA,26.528325,-80.165817,South
091-089_0-SB-SW,12/30/1899 5:00:00 AM,2,Up-Down.gif,9/28/2018 5:12:00 PM,11/21/2018 3:43:40 PM,11/21/2018 3:43:34 PM,Cisco IE-2000-16TC-G-X,5,1,091-089_0-SB-SW,0,82,18,Up-Down.gif,SR 091 MM 065 - 094,Fiber,Switch-NEMA,26.552709,-80.17317,South
091-089_8-NB-SW,12/30/1899 5:00:00 AM,2,Up-Down.gif,9/28/2018 5:12:00 PM,11/21/2018 3:43:14 PM,11/21/2018 3:43:05 PM,Cisco IE-2000-16TC-G-X,1,1,091-089_8-NB-SW,0,82,18,Up-Down.gif,SR 091 MM 065 - 094,Fiber,Switch-NEMA,26.565098,-80.17278,South
091-090_0-SB-SW,12/30/1899 5:00:00 AM,0,Up-Unknown.gif,9/28/2018 5:12:00 PM,11/21/2018 3:42:55 PM,11/21/2018 3:42:11 PM,Cisco IE-2000-16TC-G-X,3,1,091-090_0-SB-SW,0,100,0,Up-Unknown.gif,SR 091 MM 065 - 094,Fiber,Switch-NEMA,26.571583,-80.17337,South
091-091_9-SB-SW,12/30/1899 5:00:00 AM,2,Up-Down.gif,11/15/2018 4:02:00 PM,11/21/2018 3:42:28 PM,11/21/2018 3:42:21 PM,Cisco IE-2000-16TC-G-X,3,1,091-091_9-SB-SW,0,82,18,Up-Down.gif,SR 091 MM 065 - 094,Fiber,Switch-NEMA,26.599961,-80.17371,South
091-093_9-SB-SW,12/30/1899 5:00:00 AM,2,Up-Down.gif,11/15/2018 9:58:00 PM,11/21/2018 3:43:17 PM,11/21/2018 3:42:34 PM,Cisco IE-2000-16TC-G-X,1,1,091-093_9-SB-SW,0,82,18,Up-Down.gif,SR 091 MM 065 - 094,Fiber,Switch-NEMA,26.625849,-80.17403,South
091-068_5-SB-SW,12/30/1899 5:00:00 AM,1,Up.gif,9/11/2018 8:56:00 PM,11/21/2018 3:43:40 PM,11/21/2018 3:43:29 PM,Cisco IE-2000-16TC-G-X,4,1,091-068_5-SB-SW,0,82,18,Up.gif,SR 091 MM 065 - 094,Fiber,Switch-NEMA,26.2620874,-80.16823315,South
091-072_6-SB-SW,12/30/1899 5:00:00 AM,2,Up-Down.gif,11/8/2018 7:39:00 AM,11/21/2018 3:43:37 PM,11/21/2018 3:43:30 PM,Cisco IE-2000-16TC-G-X,2,1,091-072_6-SB-SW,0,82,18,Up-Down.gif,SR 091 MM 065 - 094,Fiber,Switch-NEMA,26.32238756,-80.17047236,South
091-075_0-SB-SW,12/30/1899 5:00:00 AM,2,Up-Down.gif,11/7/2018 1:34:00 AM,11/21/2018 3:43:41 PM,11/21/2018 3:42:20 PM,Cisco IE-2000-16TC-G-X,5,1,091-075_0-SB-SW,0,82,18,Up-Down.gif,SR 091 MM 065 - 094,Fiber,Switch-NEMA,26.35567876,-80.17089151,South
091-077_7-SB-SW,12/30/1899 5:00:00 AM,2,Up-Down.gif,11/12/2018 7:09:00 AM,11/21/2018 3:43:54 PM,11/21/2018 3:43:37 PM,Cisco IE-2000-16TC-G-X,2,1,091-077_7-SB-SW,0,82,18,Up-Down.gif,SR 091 MM 065 - 094,Fiber,Switch-NEMA,26.394721000,-80.171431000,South
091-082_1-SB-SW,12/30/1899 5:00:00 AM,2,Up-Down.gif,11/3/2018 3:21:00 PM,11/21/2018 3:43:38 PM,11/21/2018 3:43:36 PM,Cisco IE-2000-16TC-G-X,2,2,091-082_1-SB-SW,0,82,18,Up-Down.gif,SR 091 MM 065 - 094,Fiber,Switch-NEMA,26.458085562,-80.174933023,South
091-085_0-SB-SW,12/30/1899 5:00:00 AM,2,Up-Down.gif,11/14/2018 10:06:00 PM,11/21/2018 3:42:36 PM,11/21/2018 3:41:55 PM,Cisco IE-2000-16TC-G-X,4,1,091-085_0-SB-SW,0,82,18,Up-Down.gif,SR 091 MM 065 - 094,Fiber,Switch-NEMA,26.500260,-80.172765,South
091-086_0-SB-SW,12/30/1899 5:00:00 AM,2,Up-Down.gif,11/14/2018 10:05:00 PM,11/21/2018 3:43:56 PM,11/21/2018 3:43:38 PM,Cisco IE-2000-16TC-G-X,3,1,091-086_0-SB-SW,0,82,18,Up-Down.gif,SR 091 MM 065 - 094,Fiber,Switch-NEMA,26.509606399,-80.172876866,South
091-089_3-SB-SW,12/30/1899 5:00:00 AM,2,Up-Down.gif,9/28/2018 5:12:00 PM,11/21/2018 3:42:57 PM,11/21/2018 3:42:32 PM,Cisco IE-2000-16TC-G-X,2,1,091-089_3-SB-SW,0,82,18,Up-Down.gif,SR 091 MM 065 - 094,Fiber,Switch-NEMA,26.562759628,-80.173871566,South
091-093_5-SB-SW,12/30/1899 5:00:00 AM,2,Up-Down.gif,11/13/2018 7:07:00 PM,11/21/2018 3:43:36 PM,11/21/2018 3:43:33 PM,Cisco IE-2000-16TC-G-X,4,1,091-093_5-SB-SW,0,82,18,Up-Down.gif,SR 091 MM 065 - 094,Fiber,Switch-NEMA,26.620622000,-80.174082000,South
091-094_4-NB-SW,12/30/1899 5:00:00 AM,2,Up-Down.gif,11/15/2018 9:58:00 PM,11/21/2018 3:43:01 PM,11/21/2018 3:42:13 PM,Cisco IE-2000-16TC-G-X,3,1,091-094_4-NB-SW,0,82,18,Up-Down.gif,SR 091 MM 094 - 116,Fiber,Switch-NEMA,26.633526840,-80.173941580,South
091-092_8-SB-SW,12/30/1899 5:00:00 AM,2,Up-Down.gif,11/13/2018 7:07:00 PM,11/21/2018 3:42:42 PM,11/21/2018 3:42:16 PM,Cisco IE-2000-16TC-G-X,2,1,091-092_8-SB-SW,0,82,18,Up-Down.gif,SR 091 MM 065 - 094,Fiber,Switch-NEMA,26.613713000,-80.173978000,South
091-090_9-SB-SW,12/30/1899 5:00:00 AM,2,Up-Down.gif,9/28/2018 5:12:00 PM,11/21/2018 3:43:43 PM,11/21/2018 3:42:31 PM,Cisco IE-2000-16TC-G-X,4,1,091-090_9-SB-SW,0,82,18,Up-Down.gif,SR 091 MM 065 - 094,Fiber,Switch-NEMA,26.586265217,-80.173521711,South
091-089_9-SB-SW,12/30/1899 5:00:00 AM,2,Up-Down.gif,9/28/2018 5:12:00 PM,11/21/2018 3:43:44 PM,11/21/2018 3:42:22 PM,Cisco IE-2000-16TC-G-X,2,1,091-089_9-SB-SW,0,82,18,Up-Down.gif,SR 091 MM 065 - 094,Fiber,Switch-NEMA,26.567742640,-80.173469379,South
091-089_5-SB-SW,12/30/1899 5:00:00 AM,2,Up-Down.gif,9/28/2018 5:12:00 PM,11/21/2018 3:43:04 PM,11/21/2018 3:42:40 PM,Cisco IE-2000-16TC-G-X,1,1,091-089_5-SB-SW,0,82,18,Up-Down.gif,SR 091 MM 065 - 094,Fiber,Switch-NEMA,26.558240556,-80.172777110,South
091-088_1-SB-SW,12/30/1899 5:00:00 AM,2,Up-Down.gif,9/28/2018 5:12:00 PM,11/21/2018 3:43:17 PM,11/21/2018 3:42:56 PM,Cisco IE-2000-16TC-G-X,5,1,091-088_1-SB-SW,0,82,18,Up-Down.gif,SR 091 MM 065 - 094,Fiber,Switch-NEMA,26.540394473,-80.172995589,South
091-081_7-SB-SW,12/30/1899 5:00:00 AM,2,Up-Down.gif,9/22/2018 10:15:00 PM,11/21/2018 3:43:59 PM,11/21/2018 3:43:05 PM,Cisco IE-2000-16TC-G-X,4,1,091-081_7-SB-SW,0,82,18,Up-Down.gif,SR 091 MM 065 - 094,Fiber,Switch-NEMA,26.452211277,-80.174787848,South
091-073_0-SB-SW,12/30/1899 5:00:00 AM,2,Up-Down.gif,11/8/2018 7:39:00 AM,11/21/2018 3:43:54 PM,11/21/2018 3:43:41 PM,Cisco IE-2000-16TC-G-X,3,1,091-073_0-SB-SW,0,82,18,Up-Down.gif,SR 091 MM 065 - 094,Fiber,Switch-NEMA,26.32733635,-80.17043698,South
091-075_9-EB-SW,12/30/1899 5:00:00 AM,1,Up.gif,9/6/2018 4:42:00 PM,11/21/2018 3:42:57 PM,11/21/2018 3:42:39 PM,"Brocade Communications Systems, Inc.",29,2,091-075_9-EB-SW,0,100,0,Up.gif,SR 091 MM 065 - 094,Fiber,Switch-NEMA,26.36930522,-80.17107247,South
869-001_5-NB-SW,12/30/1899 5:00:00 AM,2,Up-Down.gif,11/12/2018 6:03:00 PM,11/21/2018 3:42:24 PM,11/21/2018 3:42:00 PM,"Brocade Communications Systems, Inc.",18,2,869-001_5-NB-SW,0,100,0,Up-Down.gif,SR 869 MM 000 - 021,Fiber,Switch-NEMA,26.150751000,-80.338317000,South
869-002_5-NB-SW,12/30/1899 5:00:00 AM,1,Up.gif,11/5/2018 5:07:00 PM,11/21/2018 3:42:06 PM,11/21/2018 3:41:53 PM,"Brocade Communications Systems, Inc.",63,2,869-002_5-NB-SW,0,100,0,Up.gif,SR 869 MM 000 - 021,Fiber,Switch-NEMA,26.161147000,-80.327509000,South
869-007_0-SB-SW,12/30/1899 5:00:00 AM,2,Up-Down.gif,10/11/2018 7:22:00 PM,11/21/2018 3:42:28 PM,11/21/2018 3:42:04 PM,"Brocade Communications Systems, Inc.",34,2,869-007_0-SB-SW,0,100,0,Up-Down.gif,SR 869 MM 000 - 021,Fiber,Switch-NEMA,26.216691000,-80.296850000,South
869-008_9-SB-SW,12/30/1899 5:00:00 AM,2,Up-Down.gif,10/11/2018 7:22:00 PM,11/21/2018 3:42:26 PM,11/21/2018 3:42:04 PM,"Brocade Communications Systems, Inc.",30,2,869-008_9-SB-SW,0,100,0,Up-Down.gif,SR 869 MM 000 - 021,Fiber,Switch-NEMA,26.244765000,-80.297622000,South
869-010_1-NB-SW,12/30/1899 5:00:00 AM,2,Up-Down.gif,9/25/2018 7:03:00 PM,11/21/2018 3:42:26 PM,11/21/2018 3:41:53 PM,"Brocade Communications Systems, Inc.",12,3,869-010_1-NB-SW,0,,-2,Up-Down.gif,SR 869 MM 000 - 021,Fiber,Switch-NEMA,26.259202000,-80.296766000,South
869-014_2-NB-SW,12/30/1899 5:00:00 AM,1,Up.gif,4/17/2018 2:59:00 AM,11/21/2018 3:42:30 PM,11/21/2018 3:42:01 PM,"Brocade Communications Systems, Inc.",9,2,869-014_2-NB-SW,0,100,0,Up.gif,SR 869 MM 000 - 021,Fiber,Switch-NEMA,26.301850000,-80.266240000,South
869-015_9-NB-SW,12/30/1899 5:00:00 AM,1,Up.gif,9/16/2018 8:05:00 PM,11/21/2018 3:43:57 PM,11/21/2018 3:43:52 PM,"Brocade Communications Systems, Inc.",15,2,869-015_9-NB-SW,0,100,0,Up.gif,SR 869 MM 000 - 021,Fiber,Switch-NEMA,26.301420000,-80.244280000,South
869-017_2-NB-SW,12/30/1899 5:00:00 AM,1,Up.gif,9/16/2018 8:07:00 PM,11/21/2018 3:42:04 PM,11/21/2018 3:41:54 PM,"Brocade Communications Systems, Inc.",43,2,869-017_2-NB-SW,0,100,0,Up.gif,SR 869 MM 000 - 021,Fiber,Switch-NEMA,26.300380000,-80.224060000,South
869-018_0-NB-SW,12/30/1899 5:00:00 AM,1,Up.gif,7/30/2018 6:35:00 PM,11/21/2018 3:42:07 PM,11/21/2018 3:41:58 PM,"Brocade Communications Systems, Inc.",19,2,869-018_0-NB-SW,0,100,0,Up.gif,SR 869 MM 000 - 021,Fiber,Switch-NEMA,26.300021000,-80.210370000,South
869-016_3-NB-SW,12/30/1899 5:00:00 AM,1,Up.gif,9/20/2018 8:34:00 PM,11/21/2018 3:42:28 PM,11/21/2018 3:41:58 PM,"Brocade Communications Systems, Inc.",34,2,869-016_3-NB-SW,0,100,0,Up.gif,SR 869 MM 000 - 021,Fiber,Switch-NEMA,26.301440000,-80.237380000,South
869-020_0-NB-SW,12/30/1899 5:00:00 AM,1,Up.gif,7/30/2018 6:35:00 PM,11/21/2018 3:42:21 PM,11/21/2018 3:42:07 PM,"Brocade Communications Systems, Inc.",17,2,869-020_0-NB-SW,0,100,0,Up.gif,SR 869 MM 000 - 021,Fiber,Switch-NEMA,26.304060000,-80.180000000,South
869-003_6-NB-SW,12/30/1899 5:00:00 AM,1,Up.gif,11/4/2018 1:16:00 PM,11/21/2018 3:42:26 PM,11/21/2018 3:41:53 PM,"Brocade Communications Systems, Inc.",2,1,869-003_6-NB-SW,0,100,0,Up.gif,SR 869 MM 000 - 021,Fiber,Switch-NEMA,26.171833000,-80.314804000,South
869-011_0-NB-SW,12/30/1899 5:00:00 AM,1,Up.gif,9/17/2018 7:11:00 PM,11/21/2018 3:42:24 PM,11/21/2018 3:41:54 PM,"Brocade Communications Systems, Inc.",11,2,869-011_0-NB-SW,0,100,0,Up.gif,SR 869 MM 000 - 021,Fiber,Switch-NEMA,26.275176000,-80.296329000,South
869-012_0-SB-SW,12/30/1899 5:00:00 AM,1,Up.gif,8/16/2018 5:00:00 PM,11/21/2018 3:42:07 PM,11/21/2018 3:42:02 PM,"Brocade Communications Systems, Inc.",3,2,869-012_0-SB-SW,0,100,0,Up.gif,SR 869 MM 000 - 021,Fiber,Switch-NEMA,26.289631000,-80.297405000,South
869-017_4-NB-SW,12/30/1899 5:00:00 AM,1,Up.gif,9/16/2018 8:05:00 PM,11/21/2018 3:42:30 PM,11/21/2018 3:42:00 PM,"Brocade Communications Systems, Inc.",18,2,869-017_4-NB-SW,0,100,0,Up.gif,SR 869 MM 000 - 021,Fiber,Switch-NEMA,26.300340000,-80.220650000,South
869-019_0-NB-SW,12/30/1899 5:00:00 AM,1,Up.gif,7/30/2018 6:35:00 PM,11/21/2018 3:42:07 PM,11/21/2018 3:42:00 PM,"Brocade Communications Systems, Inc.",50,2,869-019_0-NB-SW,0,100,0,Up.gif,SR 869 MM 000 - 021,Fiber,Switch-NEMA,26.299679000,-80.194741000,South
869-017_6-NB-SW,12/30/1899 5:00:00 AM,1,Up.gif,9/16/2018 8:05:00 PM,11/21/2018 3:43:59 PM,11/21/2018 3:43:56 PM,"Brocade Communications Systems, Inc.",41,2,869-017_6-NB-SW,0,100,0,Up.gif,SR 869 MM 000 - 021,Fiber,Switch-NEMA,26.300380000,-80.224060000,South
869-016_8-NB-SW,12/30/1899 5:00:00 AM,1,Up.gif,9/16/2018 8:05:00 PM,11/21/2018 3:42:19 PM,11/21/2018 3:41:56 PM,"Brocade Communications Systems, Inc.",6,2,869-016_8-NB-SW,0,100,0,Up.gif,SR 869 MM 000 - 021,Fiber,Switch-NEMA,26.300510000,-80.230720000,South
869-015_0-NB-SW,12/30/1899 5:00:00 AM,1,Up.gif,11/4/2018 2:31:00 PM,11/21/2018 3:42:24 PM,11/21/2018 3:42:08 PM,"Brocade Communications Systems, Inc.",10,2,869-015_0-NB-SW,0,100,0,Up.gif,SR 869 MM 000 - 021,Fiber,Switch-NEMA,26.301700000,-80.259080000,South
869-005_6-NB-SW,12/30/1899 5:00:00 AM,1,Up.gif,11/18/2018 3:41:00 PM,11/21/2018 3:43:02 PM,11/21/2018 3:41:44 PM,"Brocade Communications Systems, Inc.",6,2,869-005_6-NB-SW,0,100,0,Up.gif,SR 869 MM 000 - 021,Fiber,Switch-NEMA,26.196290000,-80.294598000,South
869-013_8-MD-SW,12/30/1899 5:00:00 AM,2,Up-Down.gif,9/6/2018 7:20:00 PM,11/21/2018 3:43:46 PM,11/21/2018 3:43:41 PM,"Brocade Communications Systems, Inc.",2,2,869-013_8-MD-SW,0,100,0,Up-Down.gif,SR 869 MM 000 - 021,Fiber,Switch-NEMA,26.302197000,-80.279487000,South
869-014_6-NB-SW,12/30/1899 5:00:00 AM,1,Up.gif,6/25/2018 11:42:00 PM,11/21/2018 3:43:57 PM,11/21/2018 3:42:20 PM,"Brocade Communications Systems, Inc.",2,2,869-014_6-NB-SW,0,100,0,Up.gif,SR 869 MM 000 - 021,Fiber,Switch-NEMA,26.301850000,-80.266240000,South
869-018_6-NB-SW,12/30/1899 5:00:00 AM,1,Up.gif,7/30/2018 6:35:00 PM,11/21/2018 3:43:47 PM,11/21/2018 3:43:42 PM,"Brocade Communications Systems, Inc.",13,2,869-018_6-NB-SW,0,100,0,Up.gif,SR 869 MM 000 - 021,Fiber,Switch-NEMA,26.299759000,-80.203572000,South
869-000_5-NB-SW,12/30/1899 5:00:00 AM,1,Up.gif,10/18/2018 8:59:00 AM,11/21/2018 3:42:50 PM,11/21/2018 3:42:38 PM,"Brocade Communications Systems, Inc.",2,2,869-000_5-NB-SW,0,100,0,Up.gif,SR 869 MM 000 - 021,Fiber,Switch-NEMA,26.136231000,-80.343231000,South
869-008_0-NB-SW,12/30/1899 5:00:00 AM,1,Up.gif,10/11/2018 7:22:00 PM,11/21/2018 3:43:53 PM,11/21/2018 3:43:42 PM,"Brocade Communications Systems, Inc.",20,2,869-008_0-NB-SW,0,100,0,Up.gif,SR 869 MM 000 - 021,Fiber,Switch-NEMA,26.231156000,-80.295782000,South
869-015_4-NB-SW,12/30/1899 5:00:00 AM,2,Up-Down.gif,9/16/2018 8:05:00 PM,11/21/2018 3:44:00 PM,11/21/2018 3:43:41 PM,"Brocade Communications Systems, Inc.",8,2,869-015_4-NB-SW,0,100,0,Up-Down.gif,SR 869 MM 000 - 021,Fiber,Switch-NEMA,26.301660000,-80.251440000,South
869-019_5-NB-SW,12/30/1899 5:00:00 AM,2,Up-Down.gif,7/30/2018 6:35:00 PM,11/21/2018 3:42:40 PM,11/21/2018 3:42:32 PM,"Brocade Communications Systems, Inc.",2,2,869-019_5-NB-SW,0,100,0,Up-Down.gif,SR 869 MM 000 - 021,Fiber,Switch-NEMA,26.300384000,-80.187682000,South
869-000_6-NB-SW,12/30/1899 5:00:00 AM,1,Up.gif,10/18/2018 8:59:00 AM,11/21/2018 3:43:57 PM,11/21/2018 3:43:40 PM,"Brocade Communications Systems, Inc.",15,1,869-000_6-NB-SW,0,100,0,Up.gif,SR 869 MM 000 - 021,Fiber,Switch-NEMA,26.138985000,-80.343216000,South
869-002_0-SB-SW,12/30/1899 5:00:00 AM,1,Up.gif,10/18/2018 8:59:00 AM,11/21/2018 3:42:55 PM,11/21/2018 3:42:32 PM,"Brocade Communications Systems, Inc.",2,2,869-002_0-SB-SW,0,100,0,Up.gif,SR 869 MM 000 - 021,Fiber,Switch-NEMA,26.156110,-80.333748,South
