Caption,BlockUntil,ChildStatus,GroupStatus,LastBoot,LastSync,LastSystemUpTimePollUtc,MachineType,MaxResponseTime,MinResponseTime,NodeName,PercentLoss,PercentMemoryAvailable,PercentMemoryUsed,StatusIcon,Comments,ConnectionType,Department,Latitude,Longitude,Region
tlops4249POE-sw,12/30/1899 5:00:00 AM,2,Up-Down.gif,1/31/2014 7:37:00 PM,11/21/2018 3:40:29 PM,11/21/2018 3:39:46 PM,"Brocade Communications Systems, Inc.",1,0,tlops4249POE-sw,0,86,14,Up-Down.gif,Tukey Lake OPS 4249,Fiber,Switch-Campus,28.517071,-81.502962,
091-047_0-SB-SW,12/30/1899 5:00:00 AM,2,Up-Down.gif,3/27/2018 7:40:00 PM,11/21/2018 3:42:50 PM,11/21/2018 3:42:43 PM,"Brocade Communications Systems, Inc.",2,1,091-047_0-SB-SW,0,100,0,Up-Down.gif,SR 091-047-MHUB Miramar Hub,Fiber,Switch-Campus,25.974544,-80.230980,South
429-006_4-SB-HUB-SW,12/30/1899 5:00:00 AM,2,Up-Down.gif,6/17/2017 3:17:00 PM,11/21/2018 3:40:51 PM,11/21/2018 3:40:13 PM,"Brocade Communications Systems, Inc.",4,2,429-006_4-SB-HUB-SW,0,100,0,Up-Down.gif,SR 429-007-MHUB,Fiber,Switch-Campus,28.359741150,-81.612669320,North
sr528mp8_3HUB-sw,12/30/1899 5:00:00 AM,2,Up-Down.gif,11/8/2018 4:28:00 PM,11/21/2018 3:39:44 PM,11/21/2018 3:39:41 PM,"Brocade Communications Systems, Inc.",11,1,sr528mp8_3HUB-sw,0,100,0,Up-Down.gif,SR 528-008-MHUB,Fiber,Switch-Campus,28.450985000,-81.350678000,
sr417mp55HUB-sw,12/30/1899 5:00:00 AM,2,Up-Down.gif,11/20/2018 4:16:00 PM,11/21/2018 3:40:51 PM,11/21/2018 3:40:34 PM,"Brocade Communications Systems, Inc.",4,2,sr417mp55HUB-sw,0,100,0,Up-Down.gif,SR 417-055-MHUB,Fiber,Switch-Campus,28.796258629,-81.338282625,
sr417mp5_9HUB-sw,12/30/1899 5:00:00 AM,2,Up-Down.gif,6/25/2018 8:13:00 PM,11/21/2018 3:40:07 PM,11/21/2018 3:39:17 PM,"Brocade Communications Systems, Inc.",3,2,sr417mp5_9HUB-sw,0,100,0,Up-Down.gif,SR 417-005-MHUB,Fiber,Switch-Campus,28.356430000,-81.481740000,
417-001_4-HUB-SW,12/30/1899 5:00:00 AM,2,Up-Down.gif,8/31/2018 3:29:00 PM,11/21/2018 3:40:06 PM,11/21/2018 3:39:53 PM,"Brocade Communications Systems, Inc.",13,2,417-001_4-HUB-SW,0,100,0,Up-Down.gif,SR 417-001-MHUB,Fiber,Switch-Campus,28.327017248,-81.542472091,North
091-065_7-PO-PLZ-SW,12/30/1899 5:00:00 AM,1,Up.gif,3/4/2018 3:04:00 PM,11/21/2018 3:42:48 PM,11/21/2018 3:42:25 PM,"Brocade Communications Systems, Inc.",0,0,091-065_7-PO-PLZ-SW,0,100,0,Up.gif,Pompano Serv Plaza,Fiber,Switch-Campus,26.226377,-80.182864,South
091-304_5-HUB-SW,12/30/1899 5:00:00 AM,1,Up.gif,3/1/2018 7:05:00 PM,11/21/2018 3:40:52 PM,11/21/2018 3:40:31 PM,"Brocade Communications Systems, Inc.",6,2,091-304_5-HUB-SW,0,100,0,Up.gif,SR 091-302-MH_UB Wildwood Tower,Fiber,Switch-Campus,28.828611,-82.031896,North
091-229_0-HUB-SW,12/30/1899 5:00:00 AM,1,Up.gif,5/25/2015 7:53:00 PM,11/21/2018 3:40:07 PM,11/21/2018 3:39:56 PM,"Brocade Communications Systems, Inc.",2,2,091-229_0-HUB-SW,0,100,0,Up.gif,SR 091-229-MHUB Canoe Creek Tower,Fiber,Switch-Campus,28.092990,-81.272750,North
091-207_0-HUB-SW,12/30/1899 5:00:00 AM,1,Up.gif,3/15/2017 6:07:00 PM,11/21/2018 3:40:29 PM,11/21/2018 3:40:19 PM,"Brocade Communications Systems, Inc.",6,2,091-207_0-HUB-SW,0,100,0,Up.gif,SR 091-207-MHUB Kenansville Tower,Fiber,Switch-Campus,27.866073,-81.015922,North
091-174_0-HUB-SW,12/30/1899 5:00:00 AM,1,Up.gif,10/30/2013 1:57:00 AM,11/21/2018 3:43:11 PM,11/21/2018 3:43:08 PM,"Brocade Communications Systems, Inc.",3,3,091-174_0-HUB-SW,0,100,0,Up.gif,SR 091-174-MHUB Site X Tower,Fiber,Switch-Campus,27.558410000,-80.659950000,North
